CONSERVE
CONSANGUINE
GRAMPS
PROLE
BOSOM BUDDY
STEPSON
PHRATRY
POINT
MANOEUVRE
STEPSIBLING
GREAT-GRANDPA
LINK_UP
CRIME_SYNDICATE
PROLETARIAN
FELLOW_TRAVELER
CONDUCT
STAVE
BABY
VICTOR
BRAG
COLLIGATE
FEMALE_CHILD
COGNATE
DADA
BEGET
GRANDFATHER
SISTER
CHECKMATE
YOUNG_WOMAN
POLITICAL_BOSS
NESTLING
FATHER
CLASS_FELLOW
STRAITS
ENGENDER
ALLY
BRING_UP
KINSFOLK
GREAT-GRANDMA
ECONOMISE
INSTRUCTOR
WORD
AUNT
TRIBE
FATHERHOOD
SCHOOL_PRINCIPAL
ACCOMPLICE
NEPHEW
PEER
STEPDAUGHTER
EMPLOYER
FOUNDING_FATHER
ASSORT
THEATER_DIRECTOR
GUIDE
RUN
STEER
BROTHER-IN-LAW
ASSIMILATOR
GENERATE
HONCHO
KINSHIP_GROUP
BARBARA_WARD
USHER
COLLEAGUE
BOS
FATHER-GOD
HUSBAND
PROF
ORAL_SEX
HEAD OF DEPARTMENT
SYNDICATE
HALF-BROTHER
BARONESS_JACKSON_OF_LODSWORTH
NURTURE
MUMMY
STEPBROTHER
FRIEND
PAL_UP
HEADING
ASSOCIATE_DEGREE
MALE_CHILD
DRUMHEAD
PASS
STAMP
FOUNDER
TEAMMATE
COPULATE
RELATE
STAFF
SPOUSE
SON
PEDAGOGUE
MOMMA
SUPERIOR
PARTY_BOSS
CHIEFTAIN
MENAGE
GRANDDAUGHTER
SIB
GREAT-GRANDFATHER
CONFEDERATIVE
FACULTY
CO-WORKER
DIRECT
FAMILY_LINE
BRAIN
EDUCATOR
SCHOOLMASTER
LOGOS
THIRD-YEAR
MOMMY
HALF_SISTER
JUNIOR
STANDBY
FIRST_COUSIN
SHAVER
INTERNE
HIGHER-RANKING
FILM_DIRECTOR
TEAM MEMBER
CLASSMATE
GUARD
HOUSEHOLD
SMALL_FRY
FELLOW_WORKER
RANKING
FORELAND
MISS
STEPMOTHER
PAIR
HIGHER-UP
SUPERVISORY_PROGRAM
TUTOR
THEATRE_DIRECTOR
KIN
QUAKER
FATHER-IN-LAW
EMPLOYEE
HEAD_WORD
UNDERLING
PROMONTORY
EXECUTIVE
CONNECT
MANAGING_DIRECTOR
CLASS
AMIGO
PLAYFELLOW
NAN
POP
LIKES
LIKE
LOVE
LOVES
TRIBAL_CHIEF
SCHOOL-AGE_CHILD
COMPANION
SON-IN-LAW
FELLOWSHIP
GRANDDADDY
COUSIN
LITTLE_GIRL
MAMA
CONTRACTILE_ORGAN
LEARNER
GAFFER
WORKFELLOW
MAIN
CELLBLOCK
SIDEKICK
HYPONYM
SUPERORDINATE
JR
ASSOCIATE
PA
COHORT
BEGINNER
STEPFATHER
PSYCHE
PRIMARY
TYKE
FATHER_OF_THE_CHURCH
CONSANGUINEAL
CAPITULUM
GRANDDAD
SCHOLAR
HOUSE
PROFESSOR
CONVERSANCE
WIFE
GRANDMOM
PAPA
SCHOLARLY_PERSON
MARRIED_WOMAN
GUIDEBOOK
RELATIVE-IN-LAW
SUBSIDIARY
QUESTION
BETTER_HALF
CAPUT
KINSPERSON
BRING_FORTH
KID
PROTAGONIST
BOY
GREAT-GRANDMOTHER
PARTNER
HEAD
JUNIOR
SCHOOLFELLOW
FOUNTAINHEAD
RAISE
YOUNGSTER
COUSIN-SISTER
HEADSPRING
FAMILY
COUPLE
MOB
MUSIC_DIRECTOR
IN-LAW
CLAN
HEADMISTRESS
WARD
TOP_DOG
FELLOW_TRAVELLER
SUPPORTER
SCHOOLCHILD
STEPCHILD
AGED
KNOB
TEMPLET
BROTHER
HOUSEMAN
GIRL
BAND_TOGETHER
REAR
COMPEER
COLLABORATOR
ADMINISTRATOR
YOUNG_LADY
EXECUTIVE_PROGRAM
SUPERVISOR
DISCIPLE
PRIVATE_INSTRUCTOR
HALF_BROTHER
EQUAL
FAMILY_UNIT
DOER
UNDERSTUDY
PLAYMATE
GET
ACQUAINTANCE
BEGETTER
BOSS
WIFEY
SUPERIOR
BOOSTER
SISTER
MARRIED_MAN
PARDNER
PRINCIPAL_SUM
PAL
INTIMATE
FOREFRONT
DECLARER
DAUGHTER
COACH
LINK
LAKE_SUPERIOR
CONFRERE
NOUS
DRAW
SCHOOLMATE
TWIN
GRANDPA
MANEUVER
PARENT
MALE_PARENT
EMBOSS
DEALER
EXECUTIVE_DIRECTOR
FOOT_SOLDIER
SCOUT
MATCH
COMRADE
PEDAGOG
MOTHER
ACQUAINTANCESHIP
GREAT-GRANDMOM
SUBORDINATE
GRAN
FAMILIARITY
NIPPER
COOPERATOR
TIKE
HEADWAY
GRANNIE
PARTNER-IN-CRIME
FAMILIAR
HEADMAN
GUIDE_ON
CONSANGUINEOUS
TIDDLER
AKIN
MONTGOMERY_WARD
MARRIED_PERSON
LEAD
AFFILIATE
MENTOR
KIN_GROUP
HEADMASTER
BOOKMAN
SUPERVISEE
SIRE
PROTÉGÉ
CONVERSANCY
SUPERSCRIPT
PRINCIPAL
NIECE
MIND
TAKE
DECISION_MAKER
APPRENTICE
HEAD_TEACHER
ELDER
SENIOR
FOURTH-YEAR
CONFIDANT
MUM
DON
KINFOLK
MISSY
SISTER-IN-LAW
ADJUNCT
DADDY
STAR
CONSORT
HAS
POSSESSES
OWNS
HOLDS
RETAINS
BELONGS
APPERTAINS
PERTAINS
BEARS
OWNS
POSSESSES
HAS
CONTROLS
CONTROLS
DOMINATES
GOVERNS
MANAGES
POSSESSES
OWNS
RETAINS
GRASPS
RETAINS
KEEPs
PRESERVES
MAINTAINS
GRASPS
SEIZES
GRABS
CLUTCHES
HOLDS
CLINGS
ADHERES
STICKS
AFFIXES
CLAIMS
POSSESSES
DECLARES
ASSERTS
AVOWS
KEEPS
RETAINS
MAINTAINS
GRANNY
HAVE
OWN
HOLD
BELONG
APPERTAIN
PERTAIN
BEAR
CONTROL
DOMINATE
GOVERN
MANAGE
GRASP
SEIZE
GRAB
CLUTCH
CLING
ADHERE
STICK
ON
AFFIX
CLAIM
POSSESS
DECLARE
ASSERT
AVOW
KEEP
RETAIN
MAINTAIN
PRESERVE
